x, 0, 0, fffX, x, x, x, x, x, x, x, x, xxxx, xx, xx, xx, xx, xx, xx, Xx, xxxx, xx, xx, xx
1, 0, 0, fffc, 1, 1, 5, 0, 0, 1, 3, 1, f8a0, b8, 6e, ff, 00, 00, ff, 6e, f8a0, d8, fe, f8
1, 0, 0, fffc, 1, 1, 5, 0, 0, 1, 3, 1, f8a1, 69, 66, ff, 00, 00, ff, 66, f8a1, b8, fe, f8
1, 0, 0, fffc, 0, 0, 6, 0, 0, 1, 3, 1, f8a2, 01, a2, ff, 00, 00, ff, 26, f8a2, 69, fe, f8
1, 0, 0, fffc, 1, 0, 6, 0, 0, 1, 3, 1, f8a3, 09, 26, ff, 00, 00, ff, 26, f8a3, 69, 01, f8
1, 0, 0, fffc, 0, 0, 6, 0, 0, 1, 3, 1, f8a4, 04, a4, 00, 00, 00, ff, 27, f8a4, 09, 01, f8
1, 0, 0, fffc, 1, 0, 6, 0, 0, 1, 3, 1, f8a5, 48, 27, 00, 00, 00, ff, 27, f8a5, 09, 04, f8
1, 0, 0, fffc, 0, 0, 4, 0, 0, 1, 1, 1, 01ff, ff, 04, 04, 00, 00, ff, 25, f8a6, 48, 04, f8
1, 0, 0, fffc, 1, 0, 4, 0, 0, 1, 3, 1, f8a6, 28, 25, 04, 00, 00, fe, 25, f8a6, 48, 04, f8
1, 0, 0, fffc, 0, 0, 4, 0, 0, 1, 2, 1, 01ff, 04, a7, 04, 00, 00, fe, 25, f8a7, 28, 04, f8
1, 0, 0, fffc, 1, 0, 4, 0, 0, 1, 3, 1, f8a7, a0, 25, 04, 00, 00, ff, 25, f8a7, 28, 04, f8
1, 0, 0, fffc, 0, 0, 6, 0, 0, 1, 3, 1, f8a8, aa, a8, 04, 00, 00, ff, 24, f8a8, a0, 04, f8
1, 0, 0, fffc, 1, 0, 6, 0, 0, 1, 3, 1, f8a9, c0, 24, 04, 00, 00, ff, 24, f8a9, a0, aa, f8
1, 0, 0, fffc, 0, 0, 6, 0, 0, 1, 3, 1, f8aa, aa, aa, 04, 00, aa, ff, a4, f8aa, c0, aa, f8
1, 0, 0, fffc, 1, 0, 6, 0, 0, 1, 3, 1, f8ab, d0, a4, 04, 00, aa, ff, a4, f8ab, c0, aa, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 3, 1, f8ac, fe, ac, 04, 00, aa, ff, 27, f8ac, d0, aa, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 1, 3, 1, f8ad, 30, 27, 04, 00, aa, ff, 27, f8ad, d0, fe, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 3, 1, f8ae, fe, ae, 04, 00, aa, ff, 27, f8ae, 30, fe, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 1, 3, 1, f8af, 90, 27, 04, 00, aa, ff, 27, f8af, 30, fe, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 3, 1, f8b0, fe, b0, 04, 00, aa, ff, 27, f8b0, 90, fe, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 1, 3, 1, f8b1, 5a, 27, 04, 00, aa, ff, 27, f8b1, 90, fe, f8
1, 0, 0, fffc, 0, 0, 4, 0, 0, 1, 1, 1, 01ff, 04, aa, 04, 00, aa, ff, 27, f8b2, 5a, fe, f8
1, 0, 0, fffc, 1, 0, 4, 0, 0, 1, 3, 1, f8b2, a2, 27, 04, 00, aa, fe, 27, f8b2, 5a, fe, f8
1, 0, 0, fffc, 0, 0, 6, 0, 0, 1, 3, 1, f8b3, 55, b3, 04, 00, aa, fe, 27, f8b3, a2, fe, f8
1, 0, 0, fffc, 1, 0, 6, 0, 0, 1, 3, 1, f8b4, e0, 27, 04, 00, aa, fe, 27, f8b4, a2, 55, f8
1, 0, 0, fffc, 0, 0, 6, 0, 0, 1, 3, 1, f8b5, 55, b5, 04, 55, aa, fe, 25, f8b5, e0, 55, f8
1, 0, 0, fffc, 1, 0, 6, 0, 0, 1, 3, 1, f8b6, d0, 25, 04, 55, aa, fe, 25, f8b6, e0, 55, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 3, 1, f8b7, fe, b7, 04, 55, aa, fe, 27, f8b7, d0, 55, f8
